ID,Name,Spending ($ Bn.),GDP,Image_path
United States,United States,611,3.3,Images/USA.png
China,China,215.7,1.9,Images/China.png
Russia,Russia,69.2,5.3,Images/Russia.png
Saudia Arabia,Saudia Arabia,63.7,10,Images/Saudia-Arabia.png
India,India,55.9,2.5,Images/India.png
France,France,55.7,2.3,Images/France.png
United Kingdom,United Kingdom,48.3,1.9,Images/UK.png
Japan,Japan,46.1,1,Images/Japan.png
Germany,Germany,41.1,1.2,Images/Germany.png
South Korea,South Korea,36.8,2.7,Images/South-Korea.png
Italy,Italy,27.9,1.5,Images/Italy.png
Australia,Australia,24.3,2,Images/Australia.png
Brazil,Brazil,22.8,1.3,Images/Brazil.png
United Arab Emirates,United Arab Emirates,22.8,5.7,Images/UAE.png
Israel,Israel,17.8,5.8,Images/Israel.png
Canada,Canada,15.5,1,Images/Canada.png
Spain,Spain,14.9,1.2,Images/Spain.png
Turkey,Turkey,14.9,2,Images/Turkey.png
Iran,Iran,12.3,3,Images/Iran.png
Algeria,Algeria,10.6,6.7,Images/Algeria.png
Singapore,Singapore,9.9,3.4,Images/Singapore.png
Republic of China,Republic of China,9.9,1.9,Images/R.C.png
Pakistan,Pakistan,9.9,3.4,Images/Pakistan.png
Colombia,Colombia,9.9,3.4,Images/Colombia.png
Poland,Poland,9.7,2,Images/Poland.png
Netherlands,Netherlands,9.2,1.2,Images/Netherlands.png
Oman,Oman,9,16.7,Images/Oman.png
Indonesia,Indonesia,7.7,0.9,Images/Indonesia.png
Mexico,Mexico,6.8,0.6,Images/Mexico.png
Kuwait,Kuwait,6.3,6.5,Images/Kuwait.png